eda_madr,causa_def,ocurrencias
19,Feto y recién nacido afectados por prolapso del cordón umbilical,12
19,Feto y recién nacido afectados por ruptura prematura de las membranas,287
19,Feto y recién nacido afectados por síndromes de transfusión placentaria,5
19,Feto y recién nacido afectados por trastornos hipertensivos de la madre,92
19,Feto y recién nacido afectados por trastornos nutricionales de la madre,4
19,Feto y recién nacido afectados por traumatismo de la madre,13
19,Gastrosquisis,12
19,Hemorragia fetal hacia la circulación materna,1
19,Hemorragia intracerebral (no traumática) del feto y del recién nacido,1
19,"Hemorragia intraventricular (no traumática) del feto y del recién nacido, sin otra especificación",1
19,"Hemorragia intraventricular (no traumática) grado 1, del feto y del recién nacido",1
19,Hernia diafragmática congénita,3
19,"Hidrocéfalo congénito, no especificado",12
19,Hidronefrosis congénita,1
19,Hidropesía fetal debida a otras enfermedades hemolíticas especificadas y a las no especificadas,1
19,Hidropesía fetal no debida a enfermedad hemolítica,46
19,Hipoplasia y displasia pulmonar,1
19,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,254
19,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto,45
19,"Hipoxia intrauterina, no especificada",103
19,Holoprosencefalia,3
19,Incompatibilidad Rh del feto y del recién nacido,1
19,"Infección propia del período perinatal, no especificada",3
19,Macrocefalia,1
19,"Malformaciones congénitas múltiples, no clasificadas en otra parte",85
19,"Malformación congénita del corazón, no especificada",20
19,"Malformación congénita del encéfalo, no especificada",2
19,"Malformación congénita del estómago, no especificada",1
19,"Malformación congénita del riñón, no especificada",1
19,"Malformación congénita del sistema digestivo, no especificada",2
19,"Malformación congénita del sistema osteomuscular, no especificada",1
19,Malformación congénita no especificada de los huesos del cráneo y de la cara,1
19,"Malformación congénita, no especificada",27
19,Muerte fetal de causa no especificada,152
19,Otras afecciones especificadas originadas en el período perinatal,1661
19,Otras anomalías hipoplásicas del encéfalo,2
19,Otras malformaciones congénitas de la pared abdominal,3
19,"Otras malformaciones congénitas del corazón, especificadas",2
19,"Otras malformaciones congénitas del sistema nervioso, especificadas",1
19,"Otras malformaciones congénitas del sistema nervioso, no especificada",5
19,"Otras malformaciones congénitas, especificadas",3
19,Otras pérdidas de sangre fetal,1
19,Otros recién nacidos con sobrepeso para la edad gestacional,1
19,"Otros síndromes de malformaciones congénitas especificados, no clasificados en otra parte",2
19,Otros trastornos cardiovasculares originados en el período perinatal,2
19,Pequeño para la edad gestacional,116
19,Persistencia de la circulación fetal,4
19,"Pérdida de sangre fetal, no especificada",1
19,Recién nacido postérmino sin sobrepeso para su edad gestacional,2
19,"Retardo del crecimiento fetal, no especificado",53
19,"Riñón poliquístico, tipo no especificado",2
19,"Síndrome de Down, no especificado",6
19,"Síndrome de Edwards, no especificado",2
19,"Síndrome de Patau, no especificado",2
19,Síndrome de Potter,5
19,"Síndrome de Turner, no especificado",1
19,Síndrome de hipoplasia del corazón izquierdo,1
19,Síndrome del recién nacido de madre diabética,31
19,Síndrome fetal (dismórfico) debido al alcohol,1
19,"Terminación del embarazo, feto y recién nacido",4
19,Tetralogía de Fallot,1
19,Ventrículo con doble entrada,1
